JABATAN METEOROLOGI MALAYSIA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Records of Meteorological Data,,,,,,,,,,,,
,,,,,,,,,,,,
Station,:  ALOR SETAR,,,,,,,,,,,
Latitude,:  6° 12' N,,,,,,,,,,,
Longitude,:  100° 24' E,,,,,,,,,,,
Elevation,:  3.9 m,,,,,,,,,,,
,,,,,,Dry,,,,,,
,,,,,Pressure,Bulb,Dew,Relative,Mean Surface Wind,,Rainfall,
,,,,Hour,MSL,Temp.,Point,Humidity,Direction,Speed,Duration,Amount
Stnno,Year,Month,Day,( MST ),( Hpa ),( ° C ),( ° C ),( % ),( ° ),( m/s ),( min ),( mm )
48603,2012,1,1,1,1011.9,24.9,23.4,91,340,1,00,0
48603,2012,1,1,2,1011.6,24.8,23.2,90,340,1.5,00,0
48603,2012,1,1,3,1010.8,24.4,23.1,92,360,1.7,20,0.2
48603,2012,1,1,4,1010.4,24,23.2,95,360,1.9,60,3.6
48603,2012,1,1,5,1010.1,23.9,23.1,95,360,1.6,60,3.2
48603,2012,1,1,6,1010.5,23.8,23.3,97,330,1.4,60,8.4
48603,2012,1,1,7,1011.1,23.7,23,96,360,1.9,60,8.6
48603,2012,1,1,8,1011.6,23.6,22.9,96,340,0.9,60,9.6
48603,2012,1,1,9,1012.1,23.7,23,96,170,0.7,60,3
48603,2012,1,1,10,1012.4,23.8,23.1,96,060,1.1,60,2.2
48603,2012,1,1,11,1012.3,23.9,23.2,96,010,0.7,60,1.8
48603,2012,1,1,12,1011.8,24.1,23.4,96,020,1.3,60,0.6
48603,2012,1,1,13,1011.6,25.2,23.5,89,110,1.1,10,-33.3
48603,2012,1,1,14,1010.3,25.4,23.4,88,020,1.3,20,-33.3
48603,2012,1,1,15,1009.6,25.8,24,89,010,1.1,20,-33.3
48603,2012,1,1,16,1009.2,26.5,23.6,83,010,0.9,00,0
48603,2012,1,1,17,1008.5,26.9,23.5,80,110,0.7,00,0
48603,2012,1,1,18,1008.9,26.7,23.8,83,040,1.2,00,0
48603,2012,1,1,19,1009.4,26.1,23.7,86,040,0.6,00,0
48603,2012,1,1,20,1010.4,25.3,24.1,93,300,1.2,00,0
48603,2012,1,1,21,1011.3,25,23.5,91,310,1.2,00,0
48603,2012,1,1,22,1011.7,24.8,23.6,92,350,0.4,00,0
